ID,Longitude,Latitude,Species
127,-71.25,-30.03532,O_degus
128,-71.26667,-30.2,O_degus
129,-71.26667,-30.2,O_degus
130,-71.61667,-30.53333,O_degus
131,-71.61667,-30.53333,O_degus
132,-71.65,-30.63,O_degus
133,-71.67,-30.63333,O_degus
134,-71.66667,-30.63333,O_degus
135,-71.68625,-30.65224,O_degus
136,-71.68621,-30.65231,O_degus
137,-71.66667,-30.66667,O_degus
138,-71.66667,-30.66667,O_degus
139,-71.66667,-30.66667,O_degus
140,-71.66666,-30.66667,O_degus
141,-71.65264,-30.66908,O_degus
142,-71.61667,-30.68333,O_degus
143,-70.44557,-30.74822,O_degus
144,-71.26197,-30.89674,O_degus
145,-71.1,-31.5,O_degus
146,-71.1092,-31.54586,O_degus
147,-70.95455,-31.69347,O_degus
148,-71.07451,-31.70066,O_degus
149,-71.07672,-31.70732,O_degus
150,-70.96362,-31.72111,O_degus
151,-70.97,-31.78,O_degus
152,-70.58,-31.82,O_degus
153,-71.45,-32.16667,O_degus
154,-71.45,-32.16667,O_degus
155,-71.45,-32.16667,O_degus
156,-71.3,-32.36667,O_degus
157,-71.3,-32.36667,O_degus
158,-71.3,-32.36667,O_degus
159,-71.44689,-32.50733,O_degus
160,-71.45092,-32.50844,O_degus
161,-71.45,-32.51667,O_degus
162,-71.45,-32.51667,O_degus
163,-71.45,-32.51667,O_degus
164,-71.2,-32.78333,O_degus
165,-71.2,-32.78333,O_degus
166,-71.2,-32.78333,O_degus
167,-71.1987,-32.78722,O_degus
168,-71.17137,-32.79823,O_degus
169,-71.13172,-32.79855,O_degus
170,-70.7,-32.8,O_degus
171,-70.98369,-32.86843,O_degus
172,-71.26667,-32.88333,O_degus
173,-71.26667,-32.88333,O_degus
174,-71.26667,-32.88334,O_degus
175,-71.1,-32.9,O_degus
176,-71.07681,-32.94813,O_degus
177,-71.13333,-32.95,O_degus
178,-71.15576,-32.98066,O_degus
179,-71.1308,-32.98167,O_degus
180,-71.16654,-32.98418,O_degus
181,-71.15354,-32.98605,O_degus
182,-71.18863,-32.99758,O_degus
183,-71.2,-33,O_degus
184,-71.26667,-33.01667,O_degus
185,-71.26667,-33.01667,O_degus
186,-71.26667,-33.01667,O_degus
187,-70.98107,-33.01841,O_degus
188,-71.60763,-33.0492,O_degus
189,-71.45,-33.05,O_degus
190,-71.44228,-33.05126,O_degus
191,-70.7479,-33.07864,O_degus
192,-70.93333,-33.08333,O_degus
193,-70.93333,-33.08333,O_degus
194,-70.93333,-33.08333,O_degus
195,-70.61667,-33.10384,O_degus
196,-70.61667,-33.10384,O_degus
197,-70.42321,-33.11706,O_degus
198,-71.51667,-33.13,O_degus
199,-71.40611,-33.14266,O_degus
200,-71.45593,-33.16101,O_degus
201,-70.9,-33.25,O_degus
202,-70.85,-33.26667,O_degus
203,-70.85,-33.26667,O_degus
204,-70.85,-33.26667,O_degus
205,-71.64,-33.27,O_degus
206,-70.88333,-33.28333,O_degus
207,-70.87648,-33.28371,O_degus
208,-71.55,-33.28962,O_degus
209,-71.55,-33.28962,O_degus
210,-70.89834,-33.29106,O_degus
211,-70.55833,-33.33333,O_degus
212,-70.6,-33.35,O_degus
213,-70.51667,-33.38333,O_degus
214,-70.56586,-33.41169,O_degus
215,-70.49247,-33.41494,O_degus
216,-70.49247,-33.41494,O_degus
217,-70.49247,-33.41494,O_degus
218,-70.65,-33.41667,O_degus
219,-70.65,-33.41667,O_degus
220,-70.63088,-33.42022,O_degus
221,-70.63017,-33.42202,O_degus
222,-70.66666,-33.45,O_degus
223,-70.55127,-33.45,O_degus
224,-70.551,-33.45,O_degus
225,-70.667,-33.45,O_degus
226,-70.48,-33.46,O_degus
227,-70.48848,-33.46897,O_degus
228,-70.48848,-33.46897,O_degus
229,-70.48848,-33.46897,O_degus
230,-70.93333,-33.48333,O_degus
231,-70.93333,-33.48333,O_degus
232,-70.93333,-33.48333,O_degus
233,-70.91919,-33.48733,O_degus
234,-70.88527,-33.48816,O_degus
235,-70.53501,-33.48916,O_degus
